image_name,latitude,longitude,debris_type,confidence,gps_source
Egyptian_01.png,9.02,78.85,plastic,0.91,DEMO_SIMULATED_OFFSHORE
Egyptian_02.png,9.025,78.87,metal,0.87,DEMO_SIMULATED_OFFSHORE
Egyptian_03.png,9.03,78.89,glass,0.84,DEMO_SIMULATED_OFFSHORE
Egyptian_04.png,9.035,78.91,plastic,0.93,DEMO_SIMULATED_OFFSHORE
Egyptian_05.png,9.04,78.93,fishing_gear,0.89,DEMO_SIMULATED_OFFSHORE
Egyptian_06.png,9.045,78.95,metal,0.86,DEMO_SIMULATED_OFFSHORE
Egyptian_07.png,9.05,78.97,plastic,0.92,DEMO_SIMULATED_OFFSHORE
Egyptian_08.png,9.055,78.99,glass,0.81,DEMO_SIMULATED_OFFSHORE
Egyptian_09.png,9.06,79.01,fishing_gear,0.88,DEMO_SIMULATED_OFFSHORE
Egyptian_10.png,9.065,79.03,plastic,0.9,DEMO_SIMULATED_OFFSHORE
Egyptian_11.png,9.07,79.05,metal,0.85,DEMO_SIMULATED_OFFSHORE
Egyptian_12.png,9.075,79.07,plastic,0.94,DEMO_SIMULATED_OFFSHORE
Egyptian_13.png,9.08,79.09,glass,0.83,DEMO_SIMULATED_OFFSHORE
Egyptian_14.png,9.085,79.11,fishing_gear,0.86,DEMO_SIMULATED_OFFSHORE
Egyptian_15.png,9.09,79.13,metal,0.91,DEMO_SIMULATED_OFFSHORE
Egyptian_16.png,9.095,79.15,plastic,0.89,DEMO_SIMULATED_OFFSHORE
Egyptian_17.png,9.1,79.17,glass,0.82,DEMO_SIMULATED_OFFSHORE
Egyptian_18.png,9.105,79.19,fishing_gear,0.87,DEMO_SIMULATED_OFFSHORE
Egyptian_19.png,9.11,79.21,plastic,0.93,DEMO_SIMULATED_OFFSHORE
Egyptian_20.png,9.115,79.23,metal,0.88,DEMO_SIMULATED_OFFSHORE
